error,time
-0.09375,1644086985.6832125
-0.09375,1644086985.6881979
-0.09375,1644086985.6921885
-0.15807560137457044,1644086985.697174
-0.15807560137457044,1644086985.7011635
-0.15807560137457044,1644086985.70615
-0.2067796610169491,1644086985.7111368
-0.2067796610169491,1644086985.7161245
-0.2067796610169491,1644086985.7211108
-0.2067796610169491,1644086985.7260969
-0.17708333333333337,1644086985.7300863
-0.17708333333333337,1644086985.73308
-0.17708333333333337,1644086985.7400603
-0.2076124567474048,1644086985.744051
-0.2076124567474048,1644086985.7480404
-0.2076124567474048,1644086985.7540233
-0.24827586206896557,1644086985.7590098
-0.24827586206896557,1644086985.7629993
-0.24827586206896557,1644086985.7669888
-0.24827586206896557,1644086985.7719743
-0.2768166089965398,1644086985.7759655
-0.2768166089965398,1644086985.7809503
-0.2768166089965398,1644086985.7849395
-0.30927835051546393,1644086985.7929177
-0.30927835051546393,1644086985.7969077
-0.30927835051546393,1644086985.8008976
-0.33333333333333337,1644086985.8068814
-0.33333333333333337,1644086985.81087
-0.33333333333333337,1644086985.81486
-0.33333333333333337,1644086985.8198466
-0.3668831168831169,1644086985.82583
-0.3668831168831169,1644086985.82982
-0.3668831168831169,1644086985.8338094
-0.3694267515923567,1644086985.8407896
-0.3694267515923567,1644086985.8447795
-0.3694267515923567,1644086985.847772
-0.3694267515923567,1644086985.8537564
-0.3890577507598785,1644086985.8587446
-0.3890577507598785,1644086985.8627334
-0.3890577507598785,1644086985.866721
-0.391044776119403,1644086985.8756974
-0.391044776119403,1644086985.8796859
-0.3771428571428571,1644086985.8856714
-0.3771428571428571,1644086985.8906565
-0.3771428571428571,1644086985.8966413
-0.3732590529247911,1644086985.902626
-0.3732590529247911,1644086985.9076111
-0.3732590529247911,1644086985.9116004
-0.3732590529247911,1644086985.9155903
-0.4130434782608695,1644086985.9215736
-0.4130434782608695,1644086985.9255638
-0.4130434782608695,1644086985.9305508
-0.4576719576719577,1644086985.9345396
-0.4576719576719577,1644086985.939526
-0.4576719576719577,1644086985.9435165
-0.45646437994722955,1644086985.9514942
-0.45646437994722955,1644086985.9594734
-0.4568527918781726,1644086985.9644604
-0.4568527918781726,1644086985.9704437
-0.4568527918781726,1644086985.9744332
-0.46700507614213194,1644086985.985404
-0.46700507614213194,1644086985.9913883
-0.4736842105263158,1644086985.997372
-0.4736842105263158,1644086986.0033555
-0.484029484029484,1644086986.01333
-0.484029484029484,1644086986.0223043
-0.5036496350364963,1644086986.028289
-0.5036496350364963,1644086986.0322785
-0.5036496350364963,1644086986.0372658
-0.5036496350364963,1644086986.0412533
-0.5118483412322274,1644086986.0472388
-0.5118483412322274,1644086986.0522254
-0.5118483412322274,1644086986.057211
-0.5213270142180095,1644086986.0621977
-0.5213270142180095,1644086986.067186
-0.5213270142180095,1644086986.0711749
-0.5199063231850117,1644086986.0761614
-0.5199063231850117,1644086986.0801501
-0.5199063231850117,1644086986.0841403
-0.5199063231850117,1644086986.0891259
-0.5379310344827586,1644086986.0941148
-0.5379310344827586,1644086986.0981038
-0.5379310344827586,1644086986.1020925
-0.5388127853881279,1644086986.108076
-0.5388127853881279,1644086986.112065
-0.5388127853881279,1644086986.1170514
-0.5388127853881279,1644086986.1220393
-0.5065502183406114,1644086986.1290195
-0.5065502183406114,1644086986.13301
-0.5065502183406114,1644086986.137997
-0.4820295983086681,1644086986.142983
-0.4820295983086681,1644086986.1479685
-0.4820295983086681,1644086986.151958
-0.4779874213836478,1644086986.1589394
-0.4779874213836478,1644086986.1629293
-0.4779874213836478,1644086986.1669185
-0.4948453608247423,1644086986.1729016
-0.4948453608247423,1644086986.177888
-0.4948453608247423,1644086986.1818788
-0.49382716049382713,1644086986.1868663
-0.49382716049382713,1644086986.191851
-0.49382716049382713,1644086986.196838
-0.4918032786885246,1644086986.2008278
-0.4918032786885246,1644086986.206812
-0.4918032786885246,1644086986.2108004
-0.4918032786885246,1644086986.214792
-0.5195876288659793,1644086986.219777
-0.5195876288659793,1644086986.2247634
